frame,substep,transition,dEnergy,dSpeed,dGXV,dGrad,toStage,toMaxGradName,toMaxGradX,toMaxGradY
273,4,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,5,"beforeCip->afterCipVelocity",0.000098227,0.000242426,0.002145678,0.002145678,"afterCipVelocity","GXV",79,64
273,5,"afterCipVelocity->afterRhs",-0.000006801,-0.00006863,0,0,"afterRhs","GXV",79,64
273,5,"afterRhs->afterNewGradV",0,0,-0.000005186,-0.000005186,"afterNewGradV","GXV",79,64
273,5,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,6,"beforeCip->afterCipVelocity",0.000099856,0.000244515,0.002160817,0.002160817,"afterCipVelocity","GXV",79,64
273,6,"afterCipVelocity->afterRhs",-0.000006804,-0.000069006,0,0,"afterRhs","GXV",79,64
273,6,"afterRhs->afterNewGradV",0,0,-0.000005186,-0.000005186,"afterNewGradV","GXV",79,64
273,6,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,7,"beforeCip->afterCipVelocity",0.000101513,0.000246608,0.002176106,0.002176106,"afterCipVelocity","GXV",79,64
273,7,"afterCipVelocity->afterRhs",-0.000006807,-0.000069378,0,0,"afterRhs","GXV",79,64
273,7,"afterRhs->afterNewGradV",0,0,-0.000005215,-0.000005215,"afterNewGradV","GXV",79,64
273,7,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,8,"beforeCip->afterCipVelocity",0.000103199,0.000248711,0.002191514,0.002191514,"afterCipVelocity","GXV",79,64
273,8,"afterCipVelocity->afterRhs",-0.000006811,-0.000069746,0,0,"afterRhs","GXV",79,64
273,8,"afterRhs->afterNewGradV",0,0,-0.000005215,-0.000005215,"afterNewGradV","GXV",79,64
273,8,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,9,"beforeCip->afterCipVelocity",0.000104915,0.000250822,0.002207071,0.002207071,"afterCipVelocity","GXV",79,64
273,9,"afterCipVelocity->afterRhs",-0.000006815,-0.000070117,0,0,"afterRhs","GXV",79,64
273,9,"afterRhs->afterNewGradV",0,0,-0.000005215,-0.000005215,"afterNewGradV","GXV",79,64
273,9,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,10,"beforeCip->afterCipVelocity",0.000106662,0.000252937,0.002222776,0.002222776,"afterCipVelocity","GXV",79,64
